iter	Passed	Remaining
0	145	144978
1	147	73464
2	149	49547
3	151	37607
4	152	30439
5	154	25635
6	156	22252
7	158	19695
8	160	17724
9	162	16101
10	164	14778
11	166	13686
12	167	12745
13	169	11946
14	171	11236
15	172	10631
16	174	10084
17	175	9585
18	177	9161
19	178	8750
20	179	8376
21	180	8037
22	181	7725
23	182	7431
24	183	7159
25	184	6910
26	185	6680
27	186	6476
28	187	6272
29	188	6080
30	188	5899
31	189	5732
32	190	5572
33	190	5422
34	191	5280
35	192	5144
36	192	5017
37	193	4895
38	193	4779
39	194	4669
40	195	4563
41	195	4463
42	196	4367
43	196	4276
44	197	4189
45	197	4106
46	198	4025
47	199	3949
48	199	3878
49	200	3809
50	201	3741
51	201	3676
52	202	3614
53	202	3554
54	203	3496
55	204	3441
56	204	3386
57	205	3333
58	205	3284
59	206	3234
60	207	3186
61	207	3140
62	208	3095
63	208	3052
64	209	3010
65	209	2969
66	210	2929
67	210	2891
68	211	2854
69	212	2817
70	212	2782
71	213	2748
72	213	2714
73	214	2683
74	215	2652
75	215	2622
76	216	2592
77	216	2562
78	217	2535
79	218	2508
80	218	2481
81	219	2454
82	219	2425
83	220	2400
84	220	2375
85	221	2351
86	221	2328
87	222	2304
88	222	2282
89	223	2260
90	224	2238
91	224	2217
92	225	2196
93	225	2176
94	226	2156
95	226	2136
96	227	2117
97	228	2098
98	228	2081
99	229	2064
100	230	2048
101	230	2030
102	231	2014
103	231	1997
104	232	1981
105	233	1965
106	233	1950
107	234	1935
108	234	1919
109	235	1904
110	235	1890
111	236	1875
112	237	1861
113	237	1847
114	238	1833
115	238	1819
116	239	1805
117	239	1792
118	240	1780
119	241	1767
120	241	1755
121	242	1742
122	242	1730
123	243	1718
124	243	1706
125	244	1696
126	245	1684
127	245	1673
128	246	1662
129	246	1651
130	247	1641
131	247	1630
132	248	1620
133	249	1610
134	249	1600
135	250	1590
136	250	1580
137	251	1570
138	252	1560
139	252	1551
140	253	1542
141	253	1531
142	254	1522
143	254	1514
144	255	1505
145	255	1496
146	256	1487
147	256	1478
148	257	1470
149	258	1462
150	258	1454
151	259	1447
152	260	1439
153	260	1432
154	261	1425
155	262	1419
156	262	1412
157	263	1405
158	264	1398
159	265	1391
160	265	1383
161	266	1377
162	266	1370
163	267	1364
164	268	1357
165	268	1350
166	269	1344
167	270	1337
168	270	1331
169	271	1325
170	272	1318
171	272	1312
172	273	1306
173	273	1300
174	274	1295
175	275	1289
176	276	1283
177	276	1277
178	277	1272
179	278	1266
180	278	1260
181	279	1255
182	279	1249
183	280	1244
184	281	1238
185	281	1233
186	282	1227
187	283	1222
188	283	1216
189	284	1211
190	284	1205
191	285	1200
192	285	1195
193	286	1189
194	286	1184
195	287	1179
196	288	1174
197	288	1169
198	289	1164
199	290	1160
200	290	1156
201	291	1151
202	292	1146
203	292	1141
204	293	1137
205	293	1132
206	294	1127
207	295	1123
208	295	1118
209	296	1114
210	296	1109
211	297	1105
212	297	1100
213	298	1096
214	298	1091
215	299	1087
216	300	1083
217	300	1078
218	301	1074
219	301	1070
220	302	1065
221	302	1061
222	303	1057
223	304	1053
224	304	1050
225	305	1046
226	306	1043
227	307	1039
228	307	1035
229	308	1032
230	308	1028
231	309	1025
232	310	1021
233	311	1018
234	311	1014
235	312	1011
236	313	1007
237	313	1004
238	314	1000
239	314	996
240	315	993
241	315	989
242	316	986
243	317	982
244	317	978
245	318	975
246	318	971
247	319	968
248	320	965
249	320	962
250	321	958
251	321	955
252	322	951
253	323	948
254	323	945
255	324	942
256	324	939
257	325	935
258	326	932
259	326	929
260	327	926
261	327	923
262	328	919
263	328	916
264	329	913
265	330	910
266	330	907
267	331	904
268	331	901
269	332	898
270	332	895
271	333	892
272	333	889
273	334	886
274	335	884
275	336	881
276	336	878
277	337	875
278	337	873
279	338	870
280	339	867
281	339	865
282	340	862
283	340	859
284	341	856
285	341	853
286	342	850
287	343	848
288	343	845
289	344	842
290	344	839
291	345	837
292	345	834
293	346	832
294	347	829
295	347	826
296	348	824
297	348	821
298	349	818
299	349	816
300	350	814
301	351	811
302	351	809
303	352	806
304	353	804
305	353	802
306	354	799
307	355	797
308	355	795
309	356	792
310	356	790
311	357	787
312	357	785
313	358	782
314	358	780
315	359	778
316	360	775
317	360	773
318	361	771
319	361	768
320	362	766
321	362	764
322	363	761
323	363	759
324	364	757
325	365	755
326	365	753
327	366	751
328	367	748
329	367	746
330	368	744
331	369	742
332	369	740
333	370	738
334	371	736
335	371	734
336	372	732
337	372	729
338	373	727
339	373	725
340	374	723
341	375	721
342	375	719
343	376	717
344	376	715
345	377	713
346	377	711
347	378	709
348	378	706
349	379	704
350	380	702
351	380	700
352	381	699
353	382	697
354	382	695
355	383	693
356	383	691
357	384	689
358	385	687
359	385	685
360	386	683
361	386	681
362	387	679
363	387	677
364	388	675
365	388	673
366	389	671
367	390	669
368	390	667
369	391	665
370	391	664
371	392	662
372	392	660
373	393	658
374	393	656
375	394	654
376	394	652
377	395	650
378	396	649
379	397	647
380	397	646
381	398	644
382	399	642
383	399	641
384	400	639
385	401	637
